"Методист факультету",,,,,,
"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на осінній семестр 2012-13 н.р. ф-ту правничих наук 5 р.н.",,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.","15 тижнів 8-й сам роб"
,,"7,9-11","ГК ""Змагальне провадження""",1,"4-333",
,,"12","Банківське право - ст. викл. Лобач О.М.",1,"4-319",
,"11.40-13.00","2,3","Проблеми конституційного права -  доц. Савенко М.Д.","Лекція","4-321",
,,"4-6","ГК ""Змагальне провадження""",1,"4-321",
,"13.30-14.50","1-6","Професійна відповідальність правника -","Лекція","4-314",
,,," доц. Сущенко В.М.",,,
,,"7-12","Професійна відповідальність правника -",1,"4-314",
,,," доц. Сущенко В.М.",,,
,"15.00-16.20","3-14","Міжнародні бізнесові трансакції -",1,"4-314",
,"16.30-17.50","2-12","Міжнародні бізнесові трансакції -","Лекція","4-314",
,"Провідний спеціаліст деканату",,,"Кучер В.П.",,
