"     ""Затверджую""",,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,
,,,,,
"Розклад занять на додатковий період весняного семестру 2012/13 н.р. ФПвН 2 р.н.",,,,,
,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд."
,,,,,
"Пн.","08.30-09.50","1-6","Англійська мова- ЗалєськаЛ.М.","А67","2-404"
,,"1-6","Англійська мова- Сергієнко Л.В.","А68","3-405"
,,"1-6","Англійська мова- Бражник Н.В.","А69","3-309"
,"10.00-11.20","2","Кримінальне право- доц. Азаров Д.С.","Лекція","4-321"
,"11.40-13.00","2","Кримінальне право- доц. Азаров Д.С.","Лекція","4-321"
,"13.30-14.50",,,,
"Вт.","08.30-09.50","1,2","Цивільне право- проф.Стефанчук Р.О.","Лекція","4-321"
,,"4,5","Цивільне право- проф.Стефанчук Р.О.","Лекція","4-319"
,"10.00-11.20","1","Цивільне право- проф.Стефанчук Р.О.","Лекція","4-321"
,,"4,5","Цивільне право- проф.Стефанчук Р.О.","Лекція","4-319"
,"11.40-13.00","2-6","Кримінальне право- доц.Горох О.П.",2,"4-314"
,,"4,5","Цивільне право- доц. Дзера І.О.",1,"4-317"
,"13.30-14.50","2-6","Кримінальне право- доц.Горох О.П.",1,"4-314"
,,"4,5","Цивільне право- доц. Дзера І.О.",2,"4-317"
,"15.00-16.20","1-5","Права людини та їх захист-доц. Савенко М.Д.","Лекція","4-101"
,"16.30-17.50","2--7","Права людини та їх захист-доц. Савенко М.Д.",4,"4-317"
"Ср.","08.30-09.50","1-6","Англійська мова- ЗалєськаЛ.М.","А67","2-404"
,,"1-6","Англійська мова- Сергієнко Л.В.","А68","3-405"
,,"1-6","Англійська мова- Бражник Н.В.","А69","3-309"
,"10.00-11.20","2-3","Кримінальне право- доц. Азаров Д.С.","Лекція","4-321"
,"11.40-13.00","2-3","Кримінальне право- доц. Азаров Д.С.","Лекція","4-321"
,"13.30-14.50","1","Спадкове право - ст. викл. Солом`яний В.Р.","Лекція","4-100"
,,"2-7","Спадкове право - ст. викл. Солом`яний В.Р.","1(2 р.н.)","4-319"
,"15.00-16.20","1","Спадкове право - ст. викл. Солом`яний В.Р.","Лекція","4-100"
,,"2-7","Спадкове право - ст. викл. Солом`яний В.Р.",2,"4-319"
"Чт.","08.30-09.50",,,,
,"10.00-11.20","2-5","Цивільне право- доц. Дзера І.О.",2,"4-319"
,,"6","Цивільне право- доц. Дзера І.О.",2,"8-12"
,,"5","Кримінальне право- доц.Горох О.П.",1,"4-317"
,"11.40-13.00","2-5","Цивільне право- доц. Дзера І.О.",1,"4-319"
,,"6","Цивільне право- доц. Дзера І.О.",1,"8-12"
,,"5","Кримінальне право- доц.Горох О.П.",2,"4-317"
,"13.30-14.50","4","Кримінальне право- доц. Азаров Д.С.","Лекція","4-100"
,"15.00-16.20",,,,
,"16.30-17.50","1-4","Спадкове право - ст. викл. Солом`яний В.Р.","Лекція","4-101"
"Пт.","08.30-09.50","1-6","Англійська мова- ЗалєськаЛ.М.","А67","2-404"
,,"1-6","Англійська мова- Сергієнко Л.В.","А68","3-405"
,,"1-6","Англійська мова- Бражник Н.В.","А69","3-309"
,"10.00-11.20",,,,
,,,,,
,"Провідний спеціаліст деканату",,,"Кучер В.П.",
