"Методист факультету",,,,,,
"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на осінній семестр 2013-14 н.р. ф-ту правничих наук 5 р.н.",,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.","15 тижнів 8-й сам роб"
,,,,,,
"Пн.","08.30-09.50","1-15","Право інтелектуальної власності- ст.в. Міндрул А.В.","Лекція","4-101",
,"10.00-11.20","1,2","Право інтелектуальної власності- ст.в. Міндрул А.В.","Лекція","4-425",
,,"3-15","Право інтелектуальної власності- ст.в. Міндрул А.В.",2,"4-321",
,"11.40-13.00","3-15","Право інтелектуальної власності- ст.в. Міндрул А.В.",1,"4-321",
,,"1-5","Валютне регулювання і валютний контроль - ","Лекція","4-319",
,,,"ст. викл. Кравченко Н.Г.",,,
,,"6,7","Валютне регулювання і валютний контроль - ",1,"4-319",
,,"9-14","доц. Лобач О.М.",,,
,"13.30-14.50","1-4","Валютне регулювання і валютний контроль - ","Лекція","8-11",
,,,"ст. викл. Кравченко Н.Г.",,,
,,"7-15","Банківське право - доц. Лобач О.М.",1,"8-11",
,"15.00-16.20","1,2","Порівняльне виборче право і ","Лекція","4-425",
,,,"парламентаризм - доц. Ключковський Ю.Б.",,,
,,"3-15","Порівняльне виборче право і ",1,"4-425",
,,,"парламентаризм - доц. Ключковський Ю.Б.",,,
,"16.30-17.50","1-14","Порівняльне виборче право і ","Лекція","4-425",
,,,"парламентаризм - доц. Ключковський Ю.Б.",,,
"Вт.","08.30-09.50",,,,,
,"10.00-11.20","2-13","Право Європейського Союзу- доц. Петров Р.А.","Лекція","1-217",
,"11.40-13.00","1-5","ГК ""Практичні аспекти звернень до ","Лекція","4-321",
,,,"Європейського Суду з прав людини"" - ст. викл. Кульчицький Н.",,,
,,"6-13","ГК ""Практичні аспекти звернень до ",1,"4-321",
,,,"Європейського Суду з прав людини"" - ст. викл. Кульчицький Н.",,,
,"13.30-14.50","1-4","Правове регулювання обігу цінних","Лекція","4-101","38 осіб"
,,,"паперів- доц. Посполітак В.В.",,,
,,"5-14","Прецедентне право Європейського ","Лекція","4-101",
,,,"Союзу з прав людини - проф. Шевчук С.В.",,,
,"15.00-16.20","6-15","Прецедентне право Європейського ",3,"4-319",
,,,"Союзу з прав людини - проф. Шевчук С.В.",,,
,,"3-14","Міжнародні корпоративні фінанси - ст. викл. Михайлюк Г.О.",1,"4-317",
,"16.30-17.50","3-12","Міжнародні корпоративні фінанси - ст. викл. Михайлюк Г.О.","Лекція","4-319","лекцыя на 2т"
"Ср.","08.30-09.50","2","Міжнародні бізнесові трансакції -ст.викл.Михайлюк Г.О","Лекція","8-11",
,,"3-14","Міжнародні бізнесові трансакції -ст.викл.Михайлюк Г.О",1,"8-11",
,"10.00-11.20","1,3,5","Правове регулювання обігу цінних","Лекція","4-425","38 осіб"
,,"4","паперів- доц. Посполітак В.В.",,"4-319",
,,"2-11","Міжнародні бізнесові трансакції -ст.викл.Михайлюк Г.О","Лекція","8-11",
,,"6-14","Правове регулювання обігу цінних",1,"8-12",
,,,"паперів- доц. Посполітак В.В.",,,
,"11.40-13.00","1,2","Право Європейського Союзу- доц. Петров Р.А.","Лекція","4-100",
,,"6-14","Правове регулювання обігу цінних",2,"8-12",
,,,"паперів- доц. Посполітак В.В.",,,
,,"3-14","Міжнародні корпоративні фінанси - ст. викл. Михайлюк Г.О.",2,"8-11",
,,"3-15","Право Європейського Союзу- доц. Кисельова Т.С.",1,"4-314",
,"13.30-14.50","1,2","Право Європейського Союзу- доц. Петров Р.А.","Лекція","4-100",
,,"6-15","Прецедентне право Європейського ",2,"4-319",
,,,"Союзу з прав людини - проф. Шевчук С.",,,
,,"3-15","Право Європейського Союзу- доц. Кисельова Т.С.",3,"4-314",
,"15.00-16.20","3-15","Право Європейського Союзу- доц. Кисельова Т.С.",2,"4-314",
,,"6-15","Прецедентне право Європейського ",1,"4-319",
,,,"Союзу з прав людини - проф. Шевчук С.В.",,,
,"16.30-17.50","2-13","Митне право - ст. викл. Клименко А.Р.",1,"4-317",
"Чт.","08.30-09.50","1-13","   Правнича психологія - проф. Казміренко Л.І.","Лекція","4-321",
,"10.00-11.20","1","   Правнича психологія - проф. Казміренко Л.І.","Лекція","4-321",
,,"2-15","   Правнича психологія - проф. Казміренко Л.І.",1,"4-321",
,"11.40-13.00","2-15","   Правнича психологія - проф. Казміренко Л.І.",2,"8-11",
,,"1","Правове регулювання обігу цінних","Лекція","4-321",
,,,"паперів- доц. Посполітак В.В.",,,
,"13.30-14.50","1","Переговори і медіація - ст. викл. Проценко Д.В.","Лекція","4-317",
,,"3-15","Переговори і медіація - ст. викл. Проценко Д.В.",1,"4-317",
