"ЧТ","13:30-14:50","1-112","Українська мова (за професійним спрямуванням)","5","Тоцька Н. ","1-12"
"ЧТ","13:30-14:50","1-331","Об’єктно-орієнтоване програмування","2","Бублик В. ","1-12"
"ЧТ","13:30-14:50","1-309","Об’єктно-орієнтоване програмування","4","Вовк Н. ","1-12"
"ЧТ","13:30-14:50","2-214","Об’єктно-орієнтоване програмування","6","Борозенний С. ","1-12"
"ЧТ","15:00-16:20","2-214","Об’єктно-орієнтоване програмування","5","Вовк Н. ","1-12"
"ЧТ","15:00-16:20","1-112","Українська мова (за професійним спрямуванням)","2","Тоцька Н. ","1-12"
"ЧТ","16:30-17:50","1-112","Українська мова (за професійним спрямуванням)","3","Тоцька Н. ","1-12"
"ПТ","08:30-09:50","1-313","Історія України","0","Тесленко І. ","1-12"
"ПТ","10:00-11:20","5-208","Англійська мова","59","Іващенко П. ","1-12"
"ПТ","10:00-11:20","4-313","Англійська мова","60","Залєська Л. ","1-12"
"ПТ","10:00-11:20","8-8","Англійська мова","61","Тригуб О. ","1-12"
"ПТ","10:00-11:20","8-4","Англійська мова","62","Бадьйор Н. ","1-12"
"ПТ","11:40-13:00","3-302","Аналіз функцій багатьох змінних","1","Кашпіровський О. ","1-12"
"ПТ","11:40-13:00","3-220а","Аналіз функцій багатьох змінних","2","Дяченко С. ","1-12"
"ПТ","11:40-13:00","1-112","Українська мова (за професійним спрямуванням)","4","Тоцька Н. ","4-6"
"ПТ","13:30-14:50","1-225","Історія України","0","Тесленко І. ","1-3"
"ПТ","13:30-14:50","1-225","Історія України","1","Тесленко І. ","4-12"
"ПТ","13:30-14:50","1-112","Українська мова (за професійним спрямуванням)","5","Тоцька Н. ","4-6"
"ПТ","15:00-16:20","1-225","Історія України","1","Тесленко І. ","2,3"
"ПТ","15:00-16:20","1-112","Українська мова (за професійним спрямуванням)","2","Тоцька Н. ","4-6"
"ПТ","16:30-17:50","1-112","Українська мова (за професійним спрямуванням)","3","Тоцька Н. ","4-6"
"СБ","08:30-09:50","3-302","Теорія алгоритмів і математична логіка","1","Дяченко С. ","1-4"
"СБ","08:30-09:50","3-220а","Теорія алгоритмів і математична логіка","2","Прокоф’єв П. ","1-4"
"СБ","08:30-09:50","5-208","Англійська мова","59","Іващенко П. ","5-7"
"СБ","08:30-09:50","4-313","Англійська мова","60","Залєська Л. ","5-7"
"СБ","08:30-09:50","8-8","Англійська мова","61","Тригуб О. ","5-7"
"СБ","08:30-09:50","8-4","Англійська мова","62","Бадьйор Н. ","5-7"
"СБ","10:00-11:20","1-223","Об’єктно-орієнтоване програмування","0","Бублик В. ","3-5"
"СБ","10:00-11:20","1-206","Математичні методи обробки зображень","3","Бучко О. ","7"
"СБ","10:00-11:20","1-206","Математичні методи обробки зображень","4","Бучко О. ","8"
"СБ","11:40-13:00","1-331","Об’єктно-орієнтоване програмування","1","Бублик В. ","3-6"
"СБ","11:40-13:00","1-309","Об’єктно-орієнтоване програмування","3","Бучко О. ","3-6"
"СБ","11:40-13:00","1-206","Математичні методи обробки зображень","1","Бучко О. ","7"
"СБ","11:40-13:00","1-206","Математичні методи обробки зображень","2","Бучко О. ","8"
"СБ","11:40-13:00","2-214","Об’єктно-орієнтоване програмування","7","Борозенний С. ","3-6"
"СБ","13:30-14:50","1-223","Математичні методи обробки зображень","0","Бучко О. ","2"
"СБ","13:30-14:50","1-331","Об’єктно-орієнтоване програмування","2","Бублик В. ","3-6"
"СБ","13:30-14:50","1-309","Об’єктно-орієнтоване програмування","4","Вовк Н. ","3-6"
"СБ","13:30-14:50","2-214","Об’єктно-орієнтоване програмування","6","Борозенний С. ","3-6"
"СБ","15:00-16:20","2-214","Об’єктно-орієнтоване програмування","5","Вовк Н. ","3-6"
